ID,Categoria,Cenário,Pré-condição,Passos,Resultado Esperado,Risco/Severidade,Observações
CALC-001,Cadastro/Cálculo,Criar cobrança sem juros,Usuário logado com permissão; cliente existente,"Criar cobrança com valor=1000; jurosMes=0; jurosAtrasoDia=0; definir vencimento; salvar","Total devido = principal restante; juros pendente = 0",Média,"Valida entendimento básico de cálculo"
CALC-002,Cadastro/Cálculo,Criar cobrança com juros mensal e vencimento futuro,Usuário logado; cliente existente,"Criar cobrança com valor=1000; jurosMes=5; vencimento em +10 dias; abrir detalhe","Antes do vencimento juros pendente deve ser 0",Alta,"Evita cobrança indevida antes do prazo"
CALC-003,Cálculo Temporal,Juros no dia exato do vencimento,Contrato com juros mensal e vencimento hoje,"Abrir detalhe do contrato na data de vencimento","Sistema já considera 1 período de juros conforme regra atual",Alta,"Checar se isso está claro para operador"
CALC-004,Cálculo Temporal,Acúmulo mensal sem atraso diário,Contrato vencido há ~3 meses; jurosAtrasoDia=0,"Abrir detalhe e validar juros acumulado","Juros acumulado proporcional aos meses decorridos",Alta,"Comparar com cálculo manual"
CALC-005,Cálculo Temporal,Acúmulo com atraso diário,Contrato com jurosMes>0 e jurosAtrasoDia>0; vencido,"Validar valor no detalhe por vários dias consecutivos","Juros pendente cresce diariamente sobre juros base conforme regra",Alta,"Alta chance de dúvida do usuário"
CALC-006,Pagamento,Pagamento parcial menor que juros,Contrato com juros pendente > valor pagamento,"Registrar pagamento pequeno (ex: 20)","Pagamento vai integralmente para juros; principal não reduz",Alta,"Regra crítica de negócio"
CALC-007,Pagamento,Pagamento parcial maior que juros,Contrato com juros pendente menor que pagamento,"Registrar pagamento que cubra juros e sobre valor","Baixa juros primeiro; excedente amortiza principal",Alta,"Conferir descrição no histórico"
CALC-008,Pagamento,Tentar concluir com juros pendente,Contrato com principal quase quitado mas juros pendente,"Pagar até zerar principal e tentar concluir","Conclusão bloqueada enquanto juros pendente > 0",Alta,"Evita quitação incorreta"
CALC-009,Pagamento,Quitação automática por pagamento,Contrato ativo com saldo e juros; pagamento suficiente,"Registrar pagamento total devido","Status vira QUITADO e gera evento automático",Alta,"Validar mensagem e data de quitação"
CALC-010,Status,Pagamento em contrato cancelado,Contrato com status CANCELADO,"Tentar registrar pagamento","Ação bloqueada com erro claro",Alta,"Integridade financeira"
CALC-011,Status,Transição automática ABERTO -> NEGOCIACAO,Contrato ABERTO,"Registrar pagamento parcial","Status muda para NEGOCIACAO automaticamente",Média,"Comportamento deve ser visível"
CALC-012,Validação,Valor inválido na cobrança,Modal de nova cobrança aberto,"Informar valor vazio/0/negativo/texto","Salvar bloqueado e mensagem de erro exibida",Média,"Teste de prevenção de erro"
CALC-013,Validação,Valor inválido em pagamento,Tela detalhe aberta,"Informar pagamento vazio/0/texto","Ação bloqueada e feedback imediato",Média,"Valida UX de entrada monetária"
CALC-014,Validação,Data de vencimento ausente na cobrança inicial,Fluxo de cliente com cobrança inicial habilitada,"Deixar vencimento vazio e tentar salvar","Bloqueio com mensagem de obrigatoriedade",Média,"Evita contrato inconsistente"
CALC-015,Datas/Timezone,Consistência de vencimento em telas diferentes,Contrato criado com vencimento definido,"Comparar vencimento em lista, detalhe, relatório e export","Mesma data apresentada em todos os pontos",Alta,"Detecta bugs de timezone"
CALC-016,Centavos/Arredondamento,Taxa decimal e pagamento quebrado,Contrato com jurosMes decimal (ex: 2.5),"Registrar múltiplos pagamentos com centavos (33,33 etc.)","Sem perda de centavos perceptível no saldo total",Alta,"Conferir divergência acumulada"
CALC-017,Relatórios,Consistência detalhe x KPI total projetado,Existem contratos ativos com juros,"Comparar soma manual (principal restante + juros pendentes) com KPI","Valores coerentes ou diferença explicável por escopo/filtro",Alta,"Teste de confiança gerencial"
CALC-018,Relatórios,Agenda de juros do dia,Contratos com data de ocorrência mensal hoje,"Abrir relatório diário e validar status pago/não pago","Entradas do dia corretas e status coerente com jurosPagos",Alta,"Importante para rotina operacional"
